title,category,date,longitude,latitude,year,month
"TUS Wolfe Ridge RX Prescribed Fire, Clay, North Carolina",Wildfires,2026-03-02 12:34:00+00:00,-83.82495,35.120333,2026,3
"Raven Rock D/Pilgrims Rest A RX Prescribed Fire, Cleburne, Alabama",Wildfires,2026-03-02 09:24:00+00:00,-85.489226,33.818256,2026,3
"BSW 05/06 RX Prescribed Fire, Covington, Alabama",Wildfires,2026-03-01 09:14:00+00:00,-86.576534,31.122318,2026,3
"RX Mount Ida 18 25 29 Prescribed Fire, Montgomery, Arkansas",Wildfires,2026-03-01 09:08:00+00:00,-93.693889,34.546944,2026,3
"RX CAT BU 52 Prescribed Fire, Grant, Louisiana",Wildfires,2026-03-01 08:57:00+00:00,-92.441277,31.623577,2026,3
"RX Redbank Units 456 Prescribed Fire, Garland, Arkansas",Wildfires,2026-03-01 08:44:00+00:00,-93.3748,34.641383,2026,3
"RX Johnson Creek 3 Prescribed Fire, Scott, Arkansas",Wildfires,2026-03-01 08:20:00+00:00,-94.205,34.7025,2026,3
"East Range Unit A RX Prescribed Fire, Pulaski, Missouri",Wildfires,2026-02-28 20:37:00+00:00,-92.1398,37.6896,2026,2
"Kellogg Wildfire, Schleicher, Texas",Wildfires,2026-02-28 15:05:00+00:00,-100.646594,30.8553797,2026,2
"Bascom Road Wildfire, Pittsburg, Oklahoma",Wildfires,2026-02-28 13:32:00+00:00,-95.3933333,35.0777778,2026,2
"RX Rorie North 2 Prescribed Fire, Baxter, Arkansas",Wildfires,2026-02-28 09:37:00+00:00,-92.223,36.064033,2026,2
"Bunker South RX Prescribed Fire, Dent, Missouri",Wildfires,2026-02-28 09:36:00+00:00,-91.2232,37.4177,2026,2
"RX PCS Freedom Mountain Prescribed Fire, Scott, Arkansas",Wildfires,2026-02-28 09:28:00+00:00,-93.844135,34.946504,2026,2
"RX OKWMR Interior Pastures Prescribed Fire, Comanche, Oklahoma",Wildfires,2026-02-28 09:22:00+00:00,-98.700088,34.74373,2026,2
